barrio,Air_Quality_Score,Complaints_Score,Noise_Score,Services_Score,Mobility_Score,UQI
cami fondo,50.77154301360144,88.1956155143339,50.0,7.4074074074074066,1.3071895424836604,42.01
na rovella,30.216470071232493,82.63069139966272,50.0,42.592592592592595,11.111111111111112,44.27
penya-roja,50.77154301360144,69.30860033726813,32.35294117647059,16.666666666666664,35.947712418300654,41.75
la creu del grau,50.77154301360144,22.17537942664419,50.0,25.92592592592593,8.169934640522877,33.54
ciutat de les arts i de les ciencies,50.77154301360144,74.62057335581788,50.0,3.7037037037037033,47.38562091503268,45.47
poble nou,46.82885137284718,98.73524451939292,50.0,3.7037037037037033,0.0,42.2
les cases de barcena,46.82885137284718,100.0,50.0,0.0,0.0,41.71
mahuella-tauladella,59.256523693034204,99.91568296795953,50.0,0.0,0.0,44.8
pinedo,50.77154301360144,90.80944350758853,50.0,11.11111111111111,0.0,43.08
massarrojos,41.28065879331086,93.00168634064082,50.0,5.555555555555555,0.0,40.03
faitanar,35.657478911607996,88.70151770657672,50.0,0.0,0.0,36.65
castellar-l'oliveral,50.77154301360144,90.05059021922428,60.39215686274508,12.962962962962962,0.0,45.37
el forn d'alcedo,35.657478911607996,96.45868465430016,50.0,7.4074074074074066,0.0,39.69
la torre,35.657478911607996,89.54468802698146,23.529411764705866,11.11111111111111,0.0,33.75
sant francesc,31.406551678620033,49.915682967959526,50.0,99.99999999999999,42.81045751633987,54.26
sant marcel.li,35.657478911607996,76.89713322091063,2.220446049250313e-14,27.77777777777778,7.516339869281047,30.98
els orriols,46.82885137284718,73.27150084317033,50.0,42.592592592592595,14.705882352941178,47.09
la seu,31.406551678620033,74.62057335581788,50.0,37.03703703703704,6.209150326797387,41.11
